word,POS,tag
aged,VBD,O
about,IN,O
33,CD,O
years,NNS,O
S,NNP,O
o,VBD,O
M,NNP,O
S,NNP,O
Jambulingam,NNP,O
residing,VBG,O
at,IN,O
No,NNP,O
13,CD,O
5,CD,O
Janakiraman,NNP,O
Street,NNP,O
Muthurangam,NNP,O
Block,NNP,O
Jafferkhanpet,NNP,O
Ashok,NNP,O
Nagar,NNP,O
Chennai,NNP,O
600,CD,O
83,CD,O
hereinafter,NN,O
called,VBD,O
the,DT,O
tenant,NN,O
which,WDT,O
expression,NN,O
shall,MD,O
wherever,VB,O
the,DT,O
context,NN,O
so,RB,O
requires,VBZ,O
be,VB,O
deemed,VBN,O
to,TO,O
mean,VB,O
and,CC,O
include,VB,O
his,PRP$,O
successors,NNS,O
in,IN,O
interest,NN,O
and,CC,O
assignees,NNS,O
of,IN,O
the,DT,O
other,JJ,O
part,NN,O
witnesses,NNS,O
as,IN,O
follows,VBZ,O
SOS,NNP,O
2,CD,O
SOS,NNP,O
Whereas,NNP,O
Mrs,NNP,O
M,NNP,O
Geetha,NNP,O
is,VBZ,O
the,DT,O
absolute,JJ,O
owner,NN,O
of,IN,O
the,DT,O
property,NN,O
at,IN,O
No,DT,O
62,CD,O
D,NNP,O
Saravana,NNP,O
Flats,NNP,O
1st,CD,O
Floor,NNP,O
Pinagapani,NNP,O
Street,NNP,O
Devaki,NNP,O
Nagar,NNP,O
Kundrathur,NNP,O
Chennai,NNP,O
600,CD,O
69,CD,O
measuring,VBG,O
250,CD,O
sq,JJ,O
ft,NN,O
and,CC,O
in,IN,O
possession,NN,O
and,CC,O
enjoyment,NN,O
of,IN,O
the,DT,O
same,JJ,O
SOS,NNP,O
Whereas,NNP,O
the,DT,O
tenant,NN,O
has,VBZ,O
approached,VBN,O
the,DT,O
owner,NN,O
to,TO,O
take,VB,O
on,IN,O
rent,NN,O
the,DT,O
First,NNP,O
Floor,NNP,O
premises,NNS,O
of,IN,O
the,DT,O
building,NN,O
referred,VBD,O
in,IN,O
the,DT,O
schedule,NN,O
hereunder,NN,O
for,IN,O
running,VBG,O
their,PRP$,O
business,NN,O
activities,NNS,O
and,CC,O
the,DT,O
owner,NN,O
has,VBZ,O
also,RB,O
agreed,VBN,O
for,IN,O
the,DT,O
same,JJ,O
SOS,NNP,O
WHEREAS,NNP,O
the,DT,O
parties,NNS,O
herein,VBP,O
mentioned,VBN,O
felt,VBD,O
expedient,JJ,O
to,TO,O
reduce,VB,O
the,DT,O
terms,NNS,O
and,CC,O
conditions,NNS,O
of,IN,O
the,DT,O
rental,JJ,O
agreement,NN,O
into,IN,O
writing,VBG,O
SOS,NNP,O
THIS,NNP,O
RENTAL,NNP,O
AGREEMENT,NNP,O
WITNESSETH,NNP,O
AS,NNP,O
FOLLOWS,NNP,O
SOS,NNP,O
That,IN,O
in,IN,O
pursuance,NN,O
of,IN,O
the,DT,O
above,NN,O
said,VBD,O
offer,NN,O
and,CC,O
acceptance,NN,O
and,CC,O
in,IN,O
consideration,NN,O
of,IN,O
a,DT,O
monthly,JJ,O
rent,NN,O
of,IN,O
Rs,NNP,O
2500,CD,O
herein,NN,O
mentioned,VBD,O
the,DT,O
owner,NN,O
hereby,NN,O
lets,VBZ,O
out,RP,O
the,DT,O
First,JJ,O
Floor,NNP,O
of,IN,O
the,DT,O
building,NN,O
bearing,NN,O
No,NNP,O
62,NNP,O
D,NNP,O
Saravana,NNP,O
Flats,NNP,O
1st,CD,O
Floor,NNP,O
Pinagapani,NNP,O
Street,NNP,O
Devaki,NNP,O
Nagar,NNP,O
Kundrathur,NNP,O
Chennai,NNP,O
600,CD,O
69,CD,O
subject,NN,O
to,TO,O
the,DT,O
terms,NNS,O
conditions,NNS,O
and,CC,O
convenants,NNS,O
specified,VBN,O
hereunder,NN,O
SOS,NNP,O
This,DT,O
Rental,JJ,O
Agreement,NNP,O
shall,MD,O
be,VB,O
for,IN,O
a,DT,O
period,NN,O
of,IN,O
11,CD,B-end
Months,NNS,I-end
commencing,VBG,O
from,IN,O
August,NNP,B-startdate
2014,CD,I-startdate
SOS,NNP,O
The,DT,O
agreed,JJ,O
rent,NN,O
of,IN,O
Rs,NNP,O
2500,CD,O
has,VBZ,O
to,TO,O
be,VB,O
paid,VBN,O
on,IN,O
or,CC,O
before,IN,O
5th,CD,O
of,IN,O
every,DT,O
month,NN,O
SOS,NNP,O
While,IN,O
the,DT,O
owner,NN,O
shall,MD,O
bear,VB,O
the,DT,O
property,NN,O
tax,NN,O
water,NN,O
tax,NN,O
in,IN,O
respect,NN,O
of,IN,O
the,DT,O
Rented,NNP,O
Flat,NNP,O
the,DT,O
tenant,NN,O
shall,MD,O
bear,VB,O
Electricity,NNP,O
Maintenance,NNP,O
and,CC,O
Water,NNP,O
Charges,NNP,O
SOS,NNP,O
The,DT,O
tenant,NN,O
shall,MD,O
use,VB,O
the,DT,O
schedule,NN,O
property,NN,O
only,RB,O
for,IN,O
the,DT,O
Office,NNP,O
use,NN,O
SOS,NNP,O
The,DT,O
tenant,NN,O
hereby,NN,O
covenants,NNS,O
with,IN,O
the,DT,O
owner,NN,O
and,CC,O
assures,NNS,O
here,RB,O
that,IN,O
SOS,NNP,O
They,PRP,O
will,MD,O
keep,VB,O
the,DT,O
flat,JJ,O
in,IN,O
a,DT,O
neat,NN,O
and,CC,O
tenantable,JJ,O
condition,NN,O
SOS,NNP,O
They,PRP,O
will,MD,O
not,RB,O
carry,VB,O
out,RP,O
any,DT,O
structural,JJ,O
alternation,NN,O
to,TO,O
the,DT,O
flat,NN,O
leased,VBN,O
out,RP,O
SOS,NNP,O
They,PRP,O
will,MD,O
not,RB,O
cause,VB,O
any,DT,O
nuisance,NN,O
either,DT,O
to,TO,O
the,DT,O
owner,NN,O
or,CC,O
to,TO,O
the,DT,O
other,JJ,O
occupants,NNS,O
in,IN,O
the,DT,O
building,NN,O
neighbors,NNS,O
SOS,NNP,O
On,IN,O
the,DT,O
expiry,NN,O
of,IN,O
the,DT,O
lease,NN,O
he,PRP,O
will,MD,O
peacefully,RB,O
surrender,VB,O
vacant,JJ,O
possession,NN,O
of,IN,O
the,DT,O
schedule,NN,O
property,NN,O
to,TO,O
the,DT,O
owner,NN,O
SOS,NNP,O
The,DT,O
tenant,NN,O
shall,MD,O
not,RB,O
sub,VB,O
lease,NN,O
Sub,NNP,O
let,VBD,O
the,DT,O
flat,JJ,O
leased,VBN,O
out,RP,O
to,TO,O
them,PRP,O
to,TO,O
anyone,NN,O
SOS,NNP,O
Notwithstanding,NNP,O
anything,NN,O
contained,VBD,O
herein,NN,O
either,CC,O
party,NN,O
can,MD,O
terminate,VB,O
this,DT,O
lease,NN,O
by,IN,O
serving,VBG,O
the,DT,O
other,JJ,O
party,NN,O
a,DT,O
notice,NN,O
in,IN,O
writing,VBG,O
4,CD,B-notice
months,NNS,I-notice
in,IN,O
advance,NN,O
SOS,NNP,O
The,DT,O
tenant,NN,O
shall,MD,O
permit,VB,O
the,DT,O
owner,NN,O
or,CC,O
her,PRP$,O
agents,NNS,O
to,TO,O
inspect,VB,O
the,DT,O
flat,NN,O
leased,VBN,O
out,RP,O
at,IN,O
all,DT,O
reasonable,JJ,O
time,NN,O
to,TO,O
see,VB,O
whether,IN,O
all,PDT,O
the,DT,O
terms,NNS,O
and,CC,O
conditions,NNS,O
of,IN,O
the,DT,O
lease,NN,O
are,VBP,O
complied,VBN,O
with,IN,O
by,IN,O
the,DT,O
tenant,NN,O
SOS,NNP,O
The,DT,O
rental,JJ,O
agreement,NN,O
can,MD,O
be,VB,O
renewed,VBN,O
once,RB,O
in,IN,O
every,DT,O
11,CD,B-end
months,NNS,I-end
with,IN,O
the,DT,O
mutual,JJ,O
consent,NN,O
of,IN,O
the,DT,O
parties,NNS,O
to,TO,O
this,DT,O
agreement,NN,O
SOS,NNP,O
IN,NNP,O
WITNESS,NNP,O
WHEREOF,NNP,O
THE,NNP,O
PARHES,NNP,O
HERETO,NNP,O
HAVE,NNP,O
SET,NNP,O
AND,NNP,O
SUBSCRIBED,NNP,O
THEIR,NNP,O
RESPECTIVE,NNP,O
HANDS,NNP,O
AND,NNP,O
SEALS,NNP,O
HEREUNTO,NNP,O
ON,NNP,O
THE,NNP,O
DAY,NNP,O
AND,NNP,O
YEAR,NNP,O
FIRST,NNP,O
ABOVE,NNP,O
WRISTTEN,NNP,O
SOS,NNP,O
WITNESSES,NNP,O
SOS,NNP,O
1,CD,O
SOS,NNP,O
OWNER,NNP,O
SOS,NNP,O
2,CD,O
SOS,NNP,O
TENANT,NNP,O
SOS,NNP,O
HOUSE,NNP,O
RENTAL,NNP,O
AGREEMENT,NNP,O
SOS,NNP,O
This,DT,O
Rental,JJ,O
Agreement,NNP,O
or,CC,O
Residential,JJ,O
Lease,NNP,O
shall,MD,O
evidence,NN,O
the,DT,O
complete,JJ,O
terms,NNS,O
and,CC,O
conditions,NNS,O
under,IN,O
which,WDT,O
the,DT,O
parties,NNS,O
whose,WP$,O
signatures,NNS,O
appear,VBP,O
below,IN,O
have,VBP,O
agreed,VBN,O
Landlord,NNP,O
SUHAIMI,NNP,B-partyone
BIN,NNP,I-partyone
AG,NNP,I-partyone
AMAN,NNP,I-partyone
AND,NNP,O
NOOR,NNP,B-partyone
AZEENAH,NNP,I-partyone
BINTI,NNP,I-partyone
MICHAEL,NNP,I-partyone
shall,MD,O
be,VB,O
referred,VBN,O
to,TO,O
as,IN,O
OWNER,NNP,O
and,CC,O
Tenant,NNP,O
s,VBD,O
Lessee,NNP,O
MOHD,NNP,B-partytwo
KHAIRUN,NNP,I-partytwo
BIN,NNP,I-partytwo
ZAKARIA,NNP,I-partytwo
shall,MD,O
be,VB,O
referred,VBN,O
to,TO,O
as,RB,O
RESIDENT,NNP,O
As,IN,O
consideration,NN,O
for,IN,O
this,DT,O
agreement,NN,O
OWNER,NNP,O
agrees,VBZ,O
to,TO,O
re,VB,O
nt,JJ,O
lease,NN,O
to,TO,O
RESIDENT,NNP,O
and,CC,O
RESIDENT,NNP,O
agrees,VBZ,O
to,TO,O
rent,VB,O
lease,NN,O
from,IN,O
OWNER,NNP,O
for,IN,O
use,NN,O
solely,RB,O
as,IN,O
a,DT,O
private,JJ,O
residence,NN,O
the,DT,O
premises,NNS,O
located,VBN,O
at,IN,O
HOUSE,NNP,O
NO,NNP,O
97,CD,O
JALAN,NNP,O
DUGANG,NNP,O
TAMBALANG,NNP,O
TUARAN,NNP,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
SABAH,NNP,O
SOS,NNP,O
TERMS,NNP,O
RESIDENT,NNP,O
agrees,VBZ,O
to,TO,O
pay,VB,O
in,IN,O
advance,NN,O
RM,NNP,O
450,CD,O
per,IN,O
month,NN,O
on,IN,O
the,DT,O
t,NN,O
This,DT,O
SOS,NNP,O
agreement,NN,O
shall,MD,O
commence,VB,O
on,IN,O
1st,CD,B-startdate
July,NNP,I-startdate
2014,CD,I-startdate
and,CC,O
continue,VB,O
for,IN,O
one,CD,O
1,CD,B-end
year,NN,B-end
as,IN,O
leasehold,JJ,O
Thereafter,NN,O
it,PRP,O
shall,MD,O
become,VB,O
a,DT,O
month,NN,O
to,TO,O
month,NN,O
tenancy,NN,O
If,IN,O
RESIDENT,NNP,O
should,MD,O
move,VB,O
from,IN,O
the,DT,O
premises,NNS,O
prior,RB,O
to,TO,O
the,DT,O
expiration,NN,O
of,IN,O
this,DT,O
time,NN,O
period,NN,O
he,PRP,O
shall,MD,O
be,VB,O
liable,JJ,O
for,IN,O
all,DT,O
rent,NN,O
due,JJ,O
until,IN,O
such,JJ,O
time,NN,O
that,IN,O
the,DT,O
Residence,NNP,O
is,VBZ,O
occupied,VBN,O
by,IN,O
an,DT,O
OWNER,NNP,O
approved,VBD,O
paying,VBG,O
RESIDENT,NNP,O
and,CC,O
or,CC,O
expiration,NN,O
of,IN,O
said,VBD,O
time,NN,O
period,NN,O
whichever,WDT,O
is,VBZ,O
shorter,JJR,O
SOS,NNP,O
PAYMENTS,NNP,O
Rent,NNP,O
and,CC,O
or,CC,O
other,JJ,O
charges,NNS,O
are,VBP,O
to,TO,O
be,VB,O
paid,VBN,O
at,IN,O
such,JJ,O
place,NN,O
or,CC,O
method,NN,O
designated,VBN,O
by,IN,O
the,DT,O
owner,NN,O
as,IN,O
follows,VBZ,O
SOS,NNP,O
All,NNP,O
payments,NNS,O
are,VBP,O
to,TO,O
be,VB,O
made,VBN,O
by,IN,O
Cash,NNP,O
Fund,NNP,O
Transfer,NNP,O
or,CC,O
via,IN,O
Cash,NNP,O
Deposit,NNP,O
Machine,NNP,O
OWNER,NNP,O
acknowledges,VBZ,O
receipt,NN,O
of,IN,O
the,DT,O
First,NNP,O
Month,NNP,O
s,JJ,O
rent,NN,O
of,IN,O
RM,NNP,O
450,CD,O
and,CC,O
a,DT,O
Security,NNP,O
Deposit,NNP,O
of,IN,O
RM,NNP,B-value
900,CD,I-value
2,CD,O
months,NNS,O
deposit,NN,O
and,CC,O
additional,JJ,O
charges,NNS,O
fees,NNS,O
for,IN,O
RM,NNP,O
350,CD,O
utilities,NNS,O
for,IN,O
a,DT,O
total,JJ,O
payment,NN,O
of,IN,O
RM,NNP,O
1700,CD,O
All,NNP,O
payments,NNS,O
are,VBP,O
to,TO,O
be,VB,O
made,VBN,O
payable,JJ,O
to,TO,O
SUHAIMI,NNP,O
AG,NNP,O
AMAN,NNP,O
NOOR,NNP,O
AZEENAH,NNP,O
MICHAEL,NNP,O
SOS,NNP,O
SECURITY,NNP,O
DEPOSITS,NNP,O
The,DT,O
total,NN,O
of,IN,O
the,DT,O
above,NN,O
deposits,VBZ,O
shall,MD,O
secure,VB,O
compliance,NN,O
with,IN,O
the,DT,O
terms,NNS,O
and,CC,O
conditions,NNS,O
of,IN,O
this,DT,O
agreement,NN,O
and,CC,O
shall,MD,O
be,VB,O
refunded,VBN,O
to,TO,O
RESIDENT,NNP,O
within,IN,O
30,CD,O
days,NNS,O
after,IN,O
the,DT,O
premises,NNS,O
have,VBP,O
been,VBN,O
completely,RB,O
vacated,JJ,O
less,RBR,O
any,DT,O
amount,NN,O
necessary,JJ,O
to,TO,O
pay,VB,O
OWNER,NNP,O
SOS,NNP,O
any,DT,O
unpaid,JJ,O
rent,NN,O
SOS,NNP,O
cleaning,NN,O
costs,NNS,O
SOS,NNP,O
key,JJ,O
replacement,NN,O
costs,NNS,O
SOS,NNP,O
cost,NN,O
for,IN,O
repair,NN,O
of,IN,O
damages,NNS,O
to,TO,O
premises,NNS,O
and,CC,O
or,CC,O
common,JJ,O
areas,NNS,O
above,IN,O
ordinary,JJ,O
wear,NN,O
and,CC,O
tear,NN,O
and,CC,O
SOS,NNP,O
any,DT,O
other,JJ,O
amount,NN,O
legally,RB,O
allowable,JJ,O
under,IN,O
the,DT,O
terms,NNS,O
of,IN,O
this,DT,O
agreement,NN,O
A,DT,O
written,VBN,O
accounting,NN,O
of,IN,O
said,VBD,O
charges,NNS,O
shall,MD,O
be,VB,O
presented,VBN,O
to,TO,O
RESIDENT,NNP,O
within,IN,O
14,CD,O
days,NNS,O
of,IN,O
move,NN,O
out,IN,O
If,IN,O
deposits,NNS,O
do,VBP,O
not,RB,O
cover,VB,O
such,JJ,O
costs,NNS,O
and,CC,O
damages,NNS,O
the,DT,O
RESIDENT,NNP,O
shall,MD,O
immediately,RB,O
pay,VB,O
said,VBD,O
additional,JJ,O
costs,NNS,O
for,IN,O
damages,NNS,O
to,TO,O
OWNER,NNP,O
SOS,NNP,O
UTILITIES,NNP,O
RESIDENT,NNP,O
agrees,VBZ,O
to,TO,O
pay,VB,O
all,DT,O
utilities,NNS,O
and,CC,O
or,CC,O
services,NNS,O
based,VBN,O
upon,IN,O
occupancy,NN,O
of,IN,O
the,DT,O
premises,NNS,O
SOS,NNP,O
PETS,NNP,O
No,NNP,O
animal,NN,O
fowl,NN,O
fish,JJ,O
reptile,NN,O
and,CC,O
or,CC,O
pet,NN,O
of,IN,O
any,DT,O
kind,NN,O
shall,MD,O
be,VB,O
kept,VBN,O
on,IN,O
or,CC,O
about,IN,O
the,DT,O
premises,NNS,O
for,IN,O
any,DT,O
amount,NN,O
of,IN,O
time,NN,O
without,IN,O
obtaining,VBG,O
the,DT,O
prior,JJ,O
written,VBN,O
consent,NN,O
and,CC,O
meeting,VBG,O
the,DT,O
requirements,NNS,O
of,IN,O
the,DT,O
OWNER,NNP,O
Such,JJ,O
consent,NN,O
if,IN,O
granted,VBN,O
shall,MD,O
be,VB,O
revocable,JJ,O
at,IN,O
OWNER,NNP,O
S,NNP,O
option,NN,O
upon,IN,O
giving,VBG,O
a,DT,O
30,CD,B-notice
day,NN,I-notice
written,VBN,O
notice,JJ,O
RESIDENT,NNP,O
also,RB,O
agrees,VBZ,O
to,TO,O
carry,VB,O
insurance,NN,O
deemed,VBN,O
appropriate,JJ,O
by,IN,O
OWNER,NNP,O
to,TO,O
cover,VB,O
possible,JJ,O
liability,NN,O
and,CC,O
damages,NNS,O
that,WDT,O
may,MD,O
be,VB,O
caused,VBN,O
by,IN,O
such,JJ,O
animals,NNS,O
SOS,NNP,O
LIQUID,NNP,O
FILLED,NNP,O
FURNISHINGS,NNP,O
No,NNP,O
liquid,NN,O
filled,VBD,O
furniture,NN,O
receptacle,NN,O
containing,VBG,O
more,JJR,O
than,IN,O
ten,JJ,O
gallons,NNS,O
of,IN,O
liquid,NN,O
is,VBZ,O
permitted,VBN,O
without,IN,O
prior,RB,O
written,VBN,O
consent,NN,O
and,CC,O
meeting,VBG,O
the,DT,O
requirements,NNS,O
of,IN,O
the,DT,O
OWNER,NNP,O
RESIDENT,NNP,O
also,RB,O
agrees,VBZ,O
to,TO,O
carry,VB,O
insurance,NN,O
deemed,VBN,O
appropriate,JJ,O
by,IN,O
OWNER,NNP,O
to,TO,O
cover,VB,O
possible,JJ,O
losses,NNS,O
that,WDT,O
may,MD,O
be,VB,O
caused,VBN,O
by,IN,O
such,JJ,O
items,NNS,O
SOS,NNP,O
NOISE,NNP,O
RESIDENT,NNP,O
agrees,VBZ,O
not,RB,O
to,TO,O
cause,VB,O
or,CC,O
allow,VB,O
any,DT,O
noise,NN,O
or,CC,O
activity,NN,O
on,IN,O
the,DT,O
premises,NNS,O
which,WDT,O
might,MD,O
disturb,VB,O
the,DT,O
peace,NN,O
and,CC,O
quiet,NN,O
of,IN,O
another,DT,O
RESIDENT,NNP,O
and,CC,O
or,CC,O
neighbor,NN,O
Said,NNP,O
noise,NN,O
and,CC,O
or,CC,O
activity,NN,O
shall,MD,O
be,VB,O
a,DT,O
breach,NN,O
of,IN,O
this,DT,O
agreement,NN,O
SOS,NNP,O
DESTRUCTION,NNP,O
OF,NNP,O
PREMISES,NNP,O
If,IN,O
the,DT,O
premises,NNS,O
become,VBP,O
totally,RB,O
or,CC,O
partially,RB,O
destroyed,VBN,O
during,IN,O
the,DT,O
term,NN,O
of,IN,O
this,DT,O
Agreement,NNP,O
so,IN,O
that,DT,O
RESIDENT,NNP,O
S,NNP,O
use,NN,O
is,VBZ,O
seriously,RB,O
impaired,JJ,O
OWNER,NNP,O
or,CC,O
RESIDENT,NNP,O
may,MD,O
terminate,VB,O
this,DT,O
Agreement,NNP,O
immediately,RB,O
upon,IN,O
three,CD,O
day,NN,O
written,VBN,O
notice,RB,O
to,TO,O
the,DT,O
other,JJ,O
SOS,NNP,O
CONDITION,NNP,O
OF,NNP,O
PREMISES,NNP,O
RESIDENT,NNP,O
acknowledges,VBZ,O
that,IN,O
he,PRP,O
has,VBZ,O
examined,VBN,O
the,DT,O
premises,NNS,O
and,CC,O
that,DT,O
said,VBD,O
premises,VBZ,O
all,DT,O
furnishings,NNS,O
fixtures,VBZ,O
furniture,NN,O
plumbing,VBG,O
heating,VBG,O
electrical,JJ,O
facilities,NNS,O
all,DT,O
items,NNS,O
listed,VBN,O
on,IN,O
the,DT,O
attached,JJ,O
property,NN,O
condition,NN,O
checklist,NN,O
if,IN,O
any,DT,O
and,CC,O
or,CC,O
all,DT,O
other,JJ,O
items,NNS,O
provided,VBN,O
by,IN,O
OWNER,NNP,O
are,VBP,O
all,DT,O
clean,JJ,O
and,CC,O
in,IN,O
good,JJ,O
satisfactory,JJ,O
condition,NN,O
except,IN,O
as,IN,O
may,MD,O
be,VB,O
indicated,VBN,O
elsewhere,RB,O
in,IN,O
this,DT,O
Agreement,NNP,O
RESIDENT,NNP,O
agrees,VBZ,O
to,TO,O
keep,VB,O
the,DT,O
premises,NNS,O
and,CC,O
all,DT,O
items,NNS,O
in,IN,O
good,JJ,O
order,NN,O
and,CC,O
good,JJ,O
condition,NN,O
and,CC,O
to,TO,O
immediately,RB,O
pay,VB,O
for,IN,O
costs,NNS,O
to,TO,O
repair,VB,O
and,CC,O
or,CC,O
replace,VB,O
any,DT,O
portion,NN,O
of,IN,O
the,DT,O
above,NNS,O
damaged,VBN,O
by,IN,O
RESIDENT,NNP,O
his,PRP$,O
guests,NNS,O
and,CC,O
or,CC,O
invitees,NNS,O
except,IN,O
as,IN,O
provided,VBN,O
by,IN,O
law,NN,O
At,IN,O
the,DT,O
termination,NN,O
of,IN,O
this,DT,O
Agreement,NNP,O
all,DT,O
of,IN,O
above,JJ,O
items,NNS,O
in,IN,O
this,DT,O
provision,NN,O
shall,MD,O
be,VB,O
returned,VBN,O
to,TO,O
OWNER,NNP,O
in,IN,O
clean,JJ,O
and,CC,O
good,JJ,O
condition,NN,O
except,IN,O
for,IN,O
reasonable,JJ,O
wear,NN,O
and,CC,O
tear,NN,O
and,CC,O
the,DT,O
premises,NNS,O
shall,MD,O
be,VB,O
free,JJ,O
of,IN,O
all,DT,O
personal,JJ,O
property,NN,O
and,CC,O
trash,NN,O
not,RB,O
belonging,VBG,O
to,TO,O
OWNER,VB,O
It,PRP,O
is,VBZ,O
agreed,VBN,O
that,IN,O
all,DT,O
dirt,NN,O
holes,VBZ,O
tears,NNS,O
bums,NNS,O
and,CC,O
stains,NNS,O
of,IN,O
any,DT,O
size,NN,O
or,CC,O
amount,NN,O
in,IN,O
the,DT,O
carpets,NNS,O
drapes,VBZ,O
walls,NNS,O
fixtures,NNS,O
and,CC,O
or,CC,O
any,DT,O
other,JJ,O
part,NN,O
of,IN,O
the,DT,O
premises,NNS,O
do,VBP,O
not,RB,O
constitute,VB,O
reasonable,JJ,O
wear,NN,O
and,CC,O
tear,JJ,O
SOS,NNP,O
ALTERATIONS,NNP,O
RESIDENT,NNP,O
shall,MD,O
not,RB,O
paint,VB,O
wallpaper,JJ,O
alter,NN,O
or,CC,O
redecorate,VB,O
change,NN,O
or,CC,O
install,VB,O
locks,NNS,O
install,VB,O
antenna,NN,O
or,CC,O
other,JJ,O
equipment,NN,O
screws,NNS,O
fastening,VBG,O
devices,NNS,O
large,JJ,O
nails,NNS,O
or,CC,O
adhesive,JJ,O
materials,NNS,O
place,VBP,O
signs,NNS,O
displays,NNS,O
or,CC,O
other,JJ,O
exhibits,NNS,O
on,IN,O
or,CC,O
in,IN,O
any,DT,O
portion,NN,O
of,IN,O
the,DT,O
premises,NNS,O
without,IN,O
the,DT,O
written,VBN,O
consent,NN,O
of,IN,O
the,DT,O
OWNER,NNP,O
except,IN,O
as,RB,O
may,MD,O
be,VB,O
provided,VBN,O
by,IN,O
law,NN,O
SOS,NNP,O
11,CD,O
PROPERTY,NNP,O
MAINTENANCE,NNP,O
RESIDENT,NNP,O
shall,MD,O
deposit,VB,O
all,DT,O
garbage,NN,O
and,CC,O
waste,NN,O
in,IN,O
a,DT,O
clean,JJ,O
and,CC,O
sanitary,JJ,O
manner,NN,O
into,IN,O
the,DT,O
proper,JJ,O
receptacles,NNS,O
and,CC,O
shall,MD,O
cooperate,VB,O
in,IN,O
keeping,VBG,O
the,DT,O
garbage,NN,O
area,NN,O
neat,NN,O
and,CC,O
clean,JJ,O
RESIDENT,NNP,O
shall,MD,O
be,VB,O
responsible,JJ,O
for,IN,O
disposing,VBG,O
of,IN,O
items,NNS,O
of,IN,O
such,JJ,O
size,NN,O
and,CC,O
nature,NN,O
as,IN,O
are,VBP,O
not,RB,O
normally,RB,O
acceptable,JJ,O
by,IN,O
the,DT,O
garbage,NN,O
hauler,NN,O
RESIDENT,NNP,O
shall,MD,O
be,VB,O
responsible,JJ,O
for,IN,O
keeping,VBG,O
the,DT,O
kitchen,NN,O
and,CC,O
bathroom,NN,O
drains,NNS,O
free,JJ,O
of,IN,O
things,NNS,O
that,WDT,O
may,MD,O
tend,VB,O
to,TO,O
cause,VB,O
clogging,NN,O
of,IN,O
the,DT,O
drains,NNS,O
RESIDENT,NNP,O
shall,MD,O
pay,VB,O
for,IN,O
the,DT,O
cleaning,VBG,O
out,IN,O
of,IN,O
any,DT,O
plumbing,JJ,O
fixture,NN,O
that,WDT,O
may,MD,O
need,VB,O
to,TO,O
be,VB,O
cleared,VBN,O
of,IN,O
stoppage,NN,O
and,CC,O
for,IN,O
the,DT,O
expense,NN,O
or,CC,O
damage,NN,O
caused,VBN,O
by,IN,O
stopping,VBG,O
of,IN,O
waste,NN,O
pipes,NNS,O
or,CC,O
overflow,NN,O
from,IN,O
bathtubs,JJ,O
wash,NN,O
basins,NNS,O
or,CC,O
sinks,NNS,O
SOS,NNP,O
CHANGE,NNP,O
OF,IN,O
TERMS,NNP,O
The,DT,O
terms,NNS,O
and,CC,O
conditions,NNS,O
of,IN,O
this,DT,O
agreement,NN,O
are,VBP,O
subject,JJ,O
to,TO,O
future,JJ,O
change,NN,O
by,IN,O
OWNER,NNP,O
after,IN,O
the,DT,O
expiration,NN,O
of,IN,O
the,DT,O
agreed,JJ,O
lease,NN,O
period,NN,O
upon,IN,O
30,CD,B-notice
day,NN,I-notice
written,VBN,O
notice,RB,O
setting,VBG,O
forth,NN,O
such,JJ,O
change,NN,O
and,CC,O
delivered,VBN,O
to,TO,O
RESIDENT,NNP,O
Any,NNP,O
changes,NNS,O
are,VBP,O
subject,JJ,O
to,TO,O
laws,NNS,O
in,IN,O
existence,NN,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
the,DT,O
Notice,NNP,O
of,IN,O
Change,NNP,O
Of,IN,O
Terms,NNS,O
SOS,NNP,O
TERMINATION,NNP,O
After,IN,O
expiration,NN,O
of,IN,O
the,DT,O
leasing,NN,O
period,NN,O
this,DT,O
agreement,NN,O
is,VBZ,O
automatically,RB,O
renewed,VBN,O
from,IN,O
month,NN,O
to,TO,O
month,NN,O
but,CC,O
may,MD,O
be,VB,O
terminated,VBN,O
by,IN,O
either,DT,O
party,NN,O
giving,VBG,O
to,TO,O
the,DT,O
other,JJ,O
a,DT,O
3,CD,O
0,CD,O
day,NN,O
written,VBN,O
notice,NN,O
of,IN,O
intention,NN,O
to,TO,O
terminate,VB,O
Where,NNP,O
laws,NNS,O
require,VB,O
just,RB,O
cause,VB,O
such,JJ,O
just,RB,O
cause,VB,O
shall,MD,O
be,VB,O
so,RB,O
stated,VBN,O
on,IN,O
said,VBD,O
notice,IN,O
The,DT,O
premises,NNS,O
shall,MD,O
be,VB,O
considered,VBN,O
vacated,VBN,O
only,RB,O
after,IN,O
all,DT,O
areas,NNS,O
including,VBG,O
storage,NN,O
areas,NNS,O
are,VBP,O
clear,JJ,O
of,IN,O
all,DT,O
RESIDENT,NNP,O
S,NNP,O
belongings,NNS,O
and,CC,O
keys,NNS,O
and,CC,O
other,JJ,O
property,NN,O
furnished,VBN,O
for,IN,O
RESIDENT,NNP,O
S,NNP,O
use,NN,O
are,VBP,O
returned,VBN,O
to,TO,O
OWNER,NNP,O
Should,NNP,O
the,DT,O
RESIDENT,NNP,O
hold,NN,O
over,IN,O
beyond,IN,O
the,DT,O
termination,NN,O
date,NN,O
or,CC,O
fail,VB,O
to,TO,O
vacate,VB,O
